==== CALCITE-3807 ====
0	True	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
1	False	core/src/main/java/org/apache/calcite/plan/volcano/VolcanoTimeoutException.java
2	False	core/src/main/java/org/apache/calcite/rel/rules/SubstitutionRule.java
3	False	core/src/main/java/org/apache/calcite/rel/core/Filter.java
4	False	core/src/main/java/org/apache/calcite/sql/advise/SqlAdvisor.java
==== CALCITE-3809 ====
0	False	core/src/main/java/org/apache/calcite/runtime/RandomFunction.java
1	False	core/src/main/java/org/apache/calcite/sql/fun/SqlRandIntegerFunction.java
2	False	core/src/main/java/org/apache/calcite/sql/fun/SqlRandFunction.java
3	True	core/src/main/java/org/apache/calcite/rex/RexSimplify.java
4	False	core/src/main/java/org/apache/calcite/prepare/CalciteCatalogReader.java
==== CALCITE-3811 ====
0	False	core/src/main/java/org/apache/calcite/rel/RelNode.java
1	False	core/src/main/java/org/apache/calcite/sql2rel/RelStructuredTypeFlattener.java
2	False	core/src/main/java/org/apache/calcite/rel/core/Filter.java
3	False	core/src/main/java/org/apache/calcite/runtime/Utilities.java
4	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
==== CALCITE-3814 ====
0	False	core/src/main/java/org/apache/calcite/prepare/CalcitePrepareImpl.java
1	False	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
2	False	core/src/main/java/org/apache/calcite/util/BuiltInMethod.java
3	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
4	False	core/src/main/java/org/apache/calcite/sql/SqlFunction.java
==== CALCITE-3815 ====
0	False	core/src/main/java/org/apache/calcite/jdbc/CalciteConnectionImpl.java
1	False	core/src/main/java/org/apache/calcite/prepare/CalcitePrepareImpl.java
2	False	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
3	True	core/src/main/java/org/apache/calcite/util/BuiltInMethod.java
4	False	core/src/main/java/org/apache/calcite/util/NlsString.java
==== CALCITE-3817 ====
0	True	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
1	False	core/src/main/java/org/apache/calcite/sql/validate/AggregatingSelectScope.java
2	False	core/src/main/java/org/apache/calcite/schema/FunctionParameter.java
3	False	druid/src/main/java/org/apache/calcite/adapter/druid/DruidQuery.java
4	False	core/src/main/java/org/apache/calcite/sql/parser/SqlAbstractParserImpl.java
==== CALCITE-3821 ====
0	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
1	False	core/src/main/java/org/apache/calcite/prepare/CalcitePrepareImpl.java
2	False	core/src/main/java/org/apache/calcite/rex/RexCall.java
3	False	core/src/main/java/org/apache/calcite/rex/RexBuilder.java
4	False	core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcSchema.java
==== CALCITE-3822 ====
0	False	core/src/main/java/org/apache/calcite/rex/RexProgramBuilder.java
1	False	core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java
2	False	.travis.yml
3	False	core/src/main/java/org/apache/calcite/rex/RexCall.java
4	False	core/src/main/java/org/apache/calcite/jdbc/CalciteConnectionImpl.java
==== CALCITE-3823 ====
0	False	core/src/main/java/org/apache/calcite/sql/SqlIdentifier.java
1	False	core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcSchema.java
2	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
3	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
4	False	druid/src/main/java/org/apache/calcite/adapter/druid/DruidTableFactory.java
==== CALCITE-3824 ====
0	False	core/src/main/java/org/apache/calcite/rel/externalize/RelWriterImpl.java
1	False	core/src/main/java/org/apache/calcite/rel/metadata/UnboundMetadata.java
2	False	core/src/main/java/org/apache/calcite/runtime/BinarySearch.java
3	False	core/src/main/java/org/apache/calcite/rel/rules/ProjectJoinTransposeRule.java
4	False	core/src/main/java/org/apache/calcite/rel/rules/FilterProjectTransposeRule.java
==== CALCITE-3826 ====
0	True	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
1	False	linq4j/src/main/java/org/apache/calcite/linq4j/DefaultEnumerable.java
2	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableValues.java
3	False	core/src/main/resources/META-INF/services/java.sql.Driver
4	False	core/src/main/java/org/apache/calcite/rel/rel2sql/package-info.java
==== CALCITE-3828 ====
0	True	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableModify.java
1	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableJoinRule.java
2	False	core/src/main/java/org/apache/calcite/sql/fun/SqlAbstractGroupFunction.java
3	False	core/src/main/java/org/apache/calcite/sql/type/SqlTypeFamily.java
4	False	core/src/main/java/org/apache/calcite/sql/SqlUtil.java
==== CALCITE-3830 ====
0	True	core/src/main/java/org/apache/calcite/util/Pair.java
1	False	core/src/main/java/org/apache/calcite/adapter/enumerable/impl/AggAddContextImpl.java
2	False	core/src/main/java/org/apache/calcite/rel/externalize/RelWriterImpl.java
3	False	core/src/main/java/org/apache/calcite/rel/metadata/UnboundMetadata.java
4	False	core/src/main/java/org/apache/calcite/plan/RelOptConnection.java
==== CALCITE-3835 ====
0	False	core/src/main/java/org/apache/calcite/sql/advise/SqlAdvisorValidator.java
1	False	core/src/main/java/org/apache/calcite/adapter/enumerable/ReflectiveCallNotNullImplementor.java
2	False	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
3	False	core/src/main/java/org/apache/calcite/materialize/MaterializationActor.java
4	False	core/src/main/java/org/apache/calcite/sql/validate/UnnestNamespace.java
==== CALCITE-3839 ====
0	False	core/src/main/java/org/apache/calcite/adapter/enumerable/impl/AggAddContextImpl.java
1	True	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
2	False	core/src/main/java/org/apache/calcite/rel/externalize/RelWriterImpl.java
3	False	core/src/main/java/org/apache/calcite/rel/RelNode.java
4	False	core/src/main/java/org/apache/calcite/rel/metadata/UnboundMetadata.java
==== CALCITE-3840 ====
0	False	core/src/main/java/org/apache/calcite/rel/rel2sql/package-info.java
1	True	core/src/main/java/org/apache/calcite/rel/rel2sql/SqlImplementor.java
2	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
3	False	core/src/main/java/org/apache/calcite/prepare/CalciteSqlValidator.java
4	False	core/src/main/java/org/apache/calcite/sql/validate/SqlDelegatingConformance.java
==== CALCITE-3845 ====
0	True	core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java
1	False	core/src/main/java/org/apache/calcite/plan/hep/HepProgram.java
2	False	core/src/main/java/org/apache/calcite/rel/rules/AggregateProjectPullUpConstantsRule.java
3	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
4	False	core/src/main/java/org/apache/calcite/rel/rules/FilterTableScanRule.java
==== CALCITE-3846 ====
0	True	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableModify.java
1	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableMatch.java
2	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableCalc.java
3	False	core/src/main/java/org/apache/calcite/materialize/TileSuggester.java
4	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumUtils.java
==== CALCITE-3848 ====
0	True	core/src/main/java/org/apache/calcite/sql/fun/SqlAbstractGroupFunction.java
1	True	core/src/main/java/org/apache/calcite/rel/rules/materialize/MaterializedViewAggregateRule.java
2	False	core/src/main/java/org/apache/calcite/rel/rules/materialize/MaterializedViewProjectAggregateRule.java
3	False	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
4	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableHashJoin.java
==== CALCITE-3862 ====
0	True	core/src/main/java/org/apache/calcite/rel/rules/materialize/MaterializedViewAggregateRule.java
1	False	core/src/main/java/org/apache/calcite/rel/rules/materialize/MaterializedViewProjectAggregateRule.java
2	False	core/src/main/java/org/apache/calcite/sql/fun/SqlAbstractGroupFunction.java
3	False	core/src/main/java/org/apache/calcite/rel/mutable/MutableAggregate.java
4	False	core/src/main/java/org/apache/calcite/rex/RexBuilder.java
==== CALCITE-3866 ====
0	False	core/src/main/java/org/apache/calcite/plan/volcano/VolcanoRuleMatch.java
1	False	core/src/main/java/org/apache/calcite/util/Pair.java
2	False	core/src/main/java/org/apache/calcite/adapter/enumerable/impl/AggResultContextImpl.java
3	False	core/src/main/java/org/apache/calcite/rel/rules/FilterAggregateTransposeRule.java
4	False	core/src/main/java/org/apache/calcite/sql/SqlRankFunction.java
==== CALCITE-3876 ====
0	False	core/src/main/java/org/apache/calcite/rel/rel2sql/package-info.java
1	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
2	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
3	True	core/src/main/java/org/apache/calcite/rel/rel2sql/SqlImplementor.java
4	False	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
==== CALCITE-3877 ====
0	True	core/src/main/java/org/apache/calcite/rel/logical/LogicalMatch.java
1	False	core/src/main/java/org/apache/calcite/sql/fun/SqlSingleValueAggFunction.java
2	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
3	False	core/src/main/java/org/apache/calcite/prepare/RelOptTableImpl.java
4	True	core/src/main/java/org/apache/calcite/sql/fun/SqlArgumentAssignmentOperator.java
==== CALCITE-3881 ====
0	True	core/src/main/java/org/apache/calcite/prepare/CalciteCatalogReader.java
1	False	core/src/main/java/org/apache/calcite/prepare/CalcitePrepareImpl.java
2	False	core/src/main/java/org/apache/calcite/runtime/SqlFunctions.java
3	False	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
4	False	core/src/main/java/org/apache/calcite/util/BuiltInMethod.java
==== CALCITE-3888 ====
0	False	core/src/main/java/org/apache/calcite/sql/fun/SqlAvgAggFunction.java
1	False	core/src/main/java/org/apache/calcite/jdbc/CalciteMetaImpl.java
2	False	core/src/main/java/org/apache/calcite/rex/RexUtil.java
3	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
4	False	core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java
==== CALCITE-3894 ====
0	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
1	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
2	False	core/src/main/java/org/apache/calcite/interpreter/SortNode.java
3	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableModify.java
4	False	core/src/main/java/org/apache/calcite/rel/rel2sql/SqlImplementor.java
==== CALCITE-3898 ====
0	True	core/src/main/java/org/apache/calcite/rex/RexUtil.java
1	False	core/src/main/java/org/apache/calcite/rex/RexExecutor.java
2	False	core/src/main/java/org/apache/calcite/tools/Frameworks.java
3	False	core/src/main/java/org/apache/calcite/rex/RexBuilder.java
4	False	core/src/main/java/org/apache/calcite/prepare/CalciteMaterializer.java
==== CALCITE-3907 ====
0	True	cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraTableScan.java
1	False	cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraSchemaFactory.java
2	False	core/src/main/java/org/apache/calcite/model/JsonSchema.java
3	False	core/src/main/java/org/apache/calcite/sql/dialect/RedshiftSqlDialect.java
4	False	core/src/main/java/org/apache/calcite/rel/rel2sql/package-info.java
==== CALCITE-3908 ====
0	False	core/src/main/java/org/apache/calcite/rel/logical/LogicalMatch.java
1	True	core/src/main/java/org/apache/calcite/util/ReflectUtil.java
2	False	core/src/main/java/org/apache/calcite/rex/RexFieldAccess.java
3	False	core/src/main/java/org/apache/calcite/schema/FunctionParameter.java
4	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
==== CALCITE-3909 ====
0	False	core/src/main/java/org/apache/calcite/rel/metadata/DefaultRelMetadataProvider.java
1	False	core/src/main/java/org/apache/calcite/rel/metadata/RelMdRowCount.java
2	False	core/src/main/java/org/apache/calcite/rel/RelNode.java
3	False	core/src/main/java/org/apache/calcite/util/Bug.java
4	False	core/src/main/java/org/apache/calcite/adapter/enumerable/JavaRowFormat.java
==== CALCITE-3915 ====
0	True	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
1	False	core/src/main/java/org/apache/calcite/sql/validate/AggFinder.java
2	False	core/src/main/java/org/apache/calcite/rel/rules/ProjectSetOpTransposeRule.java
3	False	core/src/main/java/org/apache/calcite/rel/rules/FilterProjectTransposeRule.java
4	False	core/src/main/java/org/apache/calcite/schema/FunctionParameter.java
==== CALCITE-3921 ====
0	False	core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcSchema.java
1	False	core/src/main/java/org/apache/calcite/config/CalciteSystemProperty.java
2	True	core/src/main/java/org/apache/calcite/runtime/ResultSetEnumerable.java
3	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
4	False	linq4j/src/main/java/org/apache/calcite/linq4j/function/NullableDoubleFunction1.java
==== CALCITE-3923 ====
0	True	core/src/main/java/org/apache/calcite/schema/FunctionParameter.java
