==== DERBY-6189 ====
0	False	java/org.apache.derby.client/org/apache/derby/client/am/ClientDatabaseMetaData.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/FromTable.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UnionNode.java
4	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/compile/Optimizer.java
==== DERBY-6195 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BaseJoinStrategy.java
1	False	java/org.apache.derby.commons/org/apache/derby/shared/common/error/StandardException.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/XATransactionState.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/services/loader/InstanceGetter.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/UpdatableVTIConstantAction.java
==== DERBY-6197 ====
0	False	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/ijResultImpl.java
1	False	java/org.apache.derby.client/org/apache/derby/client/am/ClientSavepoint.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BaseJoinStrategy.java
3	False	java/org.apache.derby.commons/org/apache/derby/shared/common/error/StandardException.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/XATransactionState.java
==== DERBY-6200 ====
0	False	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/ijResultImpl.java
1	False	java/org.apache.derby.client/org/apache/derby/client/am/ClientSavepoint.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BaseJoinStrategy.java
3	False	java/org.apache.derby.commons/org/apache/derby/shared/common/error/StandardException.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/XATransactionState.java
==== DERBY-6201 ====
0	False	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/ijResultImpl.java
1	False	java/org.apache.derby.client/org/apache/derby/client/am/ClientSavepoint.java
2	False	java/org.apache.derby.engine/org/apache/derby/iapi/types/ClobStreamHeaderGenerator.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/types/StreamHeaderGenerator.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BaseJoinStrategy.java
==== DERBY-6202 ====
0	False	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/ijResultImpl.java
1	False	java/org.apache.derby.client/org/apache/derby/client/am/ClientSavepoint.java
