==== HBASE-21507 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/FlushLargeStoresPolicy.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/LogRoller.java
4	True	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapreduce/MultithreadedTableMapper.java
==== HBASE-21518 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/NettyRpcServer.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java
4	False	hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKWatcher.java
==== HBASE-21535 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
1	False	hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/provider/producer/PlainTextMessageBodyProducer.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
3	False	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapreduce/Import.java
4	False	hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/ScannerResultGenerator.java
==== HBASE-21545 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
1	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/TableBackupClient.java
2	False	hbase-client/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityConstants.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/querymatcher/ExplicitColumnTracker.java
==== HBASE-21547 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java
2	False	hbase-http/src/main/java/org/apache/hadoop/hbase/util/JSONMetricUtil.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotInfo.java
==== HBASE-21550 ====
0	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/TableDescriptor.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/querymatcher/NormalUserScanQueryMatcher.java
2	True	hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKAclReset.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/JvmPauseMonitor.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/querymatcher/CompactionScanQueryMatcher.java
==== HBASE-21551 ====
0	True	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapred/TableInputFormatBase.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java
2	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/Increment.java
3	True	hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/LoadBalancerTracker.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
==== HBASE-21559 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/HMasterCommandLine.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/RegionSplitCalculator.java
2	False	hbase-client/src/main/java/org/apache/hadoop/hbase/security/NettyHBaseSaslRpcClient.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/coordination/ZkSplitLogWorkerCoordination.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
==== HBASE-21565 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredStochasticBalancer.java
1	True	hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotInfo.java
2	False	hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RootProcedureState.java
3	False	hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKNodeTracker.java
4	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java
==== HBASE-21568 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/DefaultMemStore.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/SpaceQuotaRefresherChore.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/coordination/ZKSplitLogManagerCoordination.java
3	True	hbase-common/src/main/java/org/apache/hadoop/hbase/util/ReflectionUtils.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/MasterDDLOperationHelper.java
==== HBASE-21575 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreFlusher.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcServer.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
==== HBASE-21582 ====
0	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/IncrementalBackupManager.java
1	False	hbase-common/src/main/java/org/apache/hadoop/hbase/io/ByteBufferListOutputStream.java
2	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/DisableTableProcedure.java
3	False	hbase-server/src/main/resources/hbase-webapps/master/snapshotsStats.jsp
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
==== HBASE-21592 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/GCMergedRegionsProcedure.java
1	True	hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCaller.java
2	False	hbase-common/src/main/java/org/apache/hadoop/hbase/ScheduledChore.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcServer.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/CallRunner.java
==== HBASE-21596 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/querymatcher/ScanQueryMatcher.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/querymatcher/IncludeAllCompactionQueryMatcher.java
2	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/ColumnFamilyDescriptorBuilder.java
3	False	hbase-client/src/main/java/org/apache/hadoop/hbase/filter/TimestampsFilter.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/querymatcher/DropDeletesCompactionScanQueryMatcher.java
==== HBASE-21610 ====
0	True	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapreduce/TableOutputFormat.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ClusterStatusPublisher.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/NettyRpcFrameDecoder.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFileComparators.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/CompactionPipeline.java
==== HBASE-21614 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredStochasticBalancer.java
1	True	hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotInfo.java
2	False	hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RootProcedureState.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java
4	False	hbase-examples/src/main/java/org/apache/hadoop/hbase/coprocessor/example/RefreshHFilesEndpoint.java
==== HBASE-21618 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
2	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCaller.java
