==== HIVE-21344 ====
0	False	llap-client/src/java/org/apache/hadoop/hive/registry/impl/TezAmRegistryImpl.java
1	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
2	False	llap-client/src/java/org/apache/hadoop/hive/llap/LlapBaseRecordReader.java
3	True	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
4	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
==== HIVE-21368 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/VectorMapJoinInnerStringOperator.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/FuncRand.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/FuncDecimalToTimestamp.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecDriver.java
==== HIVE-21376 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/plan/DynamicPartitionCtx.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/lazy/objectinspector/primitive/LazyDateObjectInspector.java
2	True	serde/src/java/org/apache/hadoop/hive/serde2/lazy/objectinspector/primitive/LazyTimestampObjectInspector.java
3	False	storage-api/src/java/org/apache/hadoop/hive/serde2/io/DateWritable.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/Task.java
==== HIVE-21389 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java
1	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WriteEventInfo.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/hooks/NoOperatorReuseCheckerHook.java
3	False	streaming/src/java/org/apache/hive/streaming/PartitionInfo.java
4	False	metastore/src/java/org/apache/hadoop/hive/metastore/HiveClientCache.java
==== HIVE-21390 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
1	False	llap-server/src/java/org/apache/hadoop/hive/llap/io/api/impl/LlapRecordReader.java
2	False	shims/0.23/src/main/java/org/apache/hadoop/hive/shims/Hadoop23Shims.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MapWork.java
4	False	llap-client/src/java/org/apache/hadoop/hive/llap/LlapBaseRecordReader.java
==== HIVE-21391 ====
0	True	llap-server/src/java/org/apache/hadoop/hive/llap/io/api/impl/ColumnVectorBatch.java
1	False	common/src/java/org/apache/hive/common/util/FixedSizedObjectPool.java
2	False	llap-client/src/java/org/apache/hadoop/hive/llap/LlapBaseRecordReader.java
3	False	llap-server/src/java/org/apache/hadoop/hive/llap/io/decode/ColumnVectorProducer.java
4	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
==== HIVE-21398 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFUtils.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MergeJoinWork.java
==== HIVE-21400 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/ReduceSinkOperator.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/mapjoin/MapJoinMemoryExhaustionError.java
2	True	serde/src/java/org/apache/hadoop/hive/serde2/lazybinary/fast/LazyBinaryDeserializeRead.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/WritableShortObjectInspector.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/MapObjectInspector.java
==== HIVE-21402 ====
0	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/CompactionInfo.java
1	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFValidateAcidSortOrder.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUpdaterThread.java
==== HIVE-21403 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/load/util/Context.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/events/filesystem/FSDatabaseEvent.java
2	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/NotificationEventsCountResponse.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/parse/repl/load/log/state/IncrementalLoadBegin.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastBytesHashKeyRef.java
==== HIVE-21404 ====
0	False	storage-api/src/java/org/apache/hive/common/util/Murmur3.java
1	False	standalone-metastore/metastore-server/src/main/sql/oracle/hive-schema-3.2.0.oracle.sql
2	False	standalone-metastore/metastore-server/src/main/sql/postgres/upgrade-3.1.0-to-3.2.0.postgres.sql
3	False	standalone-metastore/metastore-server/src/main/sql/mssql/upgrade-3.1.0-to-3.2.0.mssql.sql
4	False	standalone-metastore/metastore-server/src/main/sql/mssql/hive-schema-3.2.0.mssql.sql
==== HIVE-21407 ====
0	False	common/src/java/org/apache/hadoop/hive/common/type/HiveBaseChar.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/MapredParquetInputFormat.java
2	False	druid-handler/src/java/org/apache/hadoop/hive/druid/DruidStorageHandler.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/VectorizedParquetInputFormat.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/udf/UDFMath.java
==== HIVE-21408 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/optimizer/DynamicPartitionPruningOptimization.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecDriver.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierForASTConv.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/ppd/SyntheticJoinPredicate.java
==== HIVE-21412 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java
1	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WriteEventInfo.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/hooks/NoOperatorReuseCheckerHook.java
3	False	streaming/src/java/org/apache/hive/streaming/PartitionInfo.java
4	False	metastore/src/java/org/apache/hadoop/hive/metastore/HiveClientCache.java
==== HIVE-21415 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
1	False	shims/0.23/src/main/java/org/apache/hadoop/hive/shims/Hadoop23Shims.java
2	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/MetaStoreSchemaInfo.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MoveWork.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java
==== HIVE-21421 ====
0	True	jdbc/src/java/org/apache/hive/jdbc/HiveStatement.java
1	False	jdbc/src/java/org/apache/hive/jdbc/HivePreparedStatement.java
2	False	standalone-metastore/metastore-common/src/gen/thrift/gen-php/metastore/ColumnStatisticsObj.php
3	False	service-rpc/src/gen/thrift/gen-cpp/TCLIService_constants.cpp
4	False	service/src/java/org/apache/hive/service/server/KillQueryImpl.java
==== HIVE-21424 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java
1	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WriteEventInfo.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/hooks/NoOperatorReuseCheckerHook.java
3	False	streaming/src/java/org/apache/hive/streaming/PartitionInfo.java
4	False	metastore/src/java/org/apache/hadoop/hive/metastore/HiveClientCache.java
==== HIVE-21430 ====
0	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
1	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/DeadlineException.java
2	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/MetadataStore.java
3	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/MetastoreTaskThread.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFContextNGrams.java
==== HIVE-21435 ====
0	True	llap-client/src/java/org/apache/hadoop/hive/llap/LlapBaseRecordReader.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
2	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkTask.java
==== HIVE-21437 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/AbstractPrimitiveObjectInspector.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
2	False	data/files/studentnull100
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/mr/MapredLocalTask.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorGroupByOperator.java
==== HIVE-21440 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/PTFUtils.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/stats/StatsPublisher.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/stats/StatsCollectionContext.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/SerializationUtilities.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
==== HIVE-21446 ====
0	True	shims/0.23/src/main/java/org/apache/hadoop/hive/shims/Hadoop23Shims.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
2	False	common/src/java/org/apache/hadoop/hive/common/metrics/common/MetricsVariable.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/RowContainer.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
==== HIVE-21460 ====
0	False	llap-server/src/java/org/apache/hadoop/hive/llap/io/api/impl/LlapRecordReader.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorMR.java
2	True	ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRawRecordMerger.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/io/SelfDescribingInputFormatInterface.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcFile.java
==== HIVE-21462 ====
0	False	ql/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/ql/plan/api/QueryPlan.java
1	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
2	False	standalone-metastore/metastore-common/src/gen/thrift/gen-rb/hive_metastore_types.rb
3	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/IMetaStoreClient.java
4	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/TxnInfo.java
==== HIVE-21468 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/plan/PlanUtils.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierForASTConv.java
3	True	ql/src/java/org/apache/hadoop/hive/ql/exec/tez/DagUtils.java
4	False	common/src/java/org/apache/hive/common/util/TimestampParser.java
==== HIVE-21471 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/load/LoadDatabase.java
1	True	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java
2	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/load/util/Context.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/Table.java
==== HIVE-21478 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/parse/UpdateDeleteSemanticAnalyzer.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/parse/QBMetaData.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
==== HIVE-21479 ====
0	True	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/PartitionValuesResponse.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderImpl.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/metainfo/annotation/OpTraitsRulesProcFactory.java
4	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/GetPrincipalsInRoleRequest.java
==== HIVE-21482 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/Table.java
1	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
2	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/hooks/WriteEntity.java
4	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
==== HIVE-21487 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
2	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/StorageDescriptor.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/ExprNodeEvaluatorFactory.java
==== HIVE-21492 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/VectorizedParquetRecordReader.java
1	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/ShowLocksResponse.java
2	False	service-rpc/src/gen/thrift/gen-py/TCLIService/constants.py
3	False	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/FilterPredicateLeafBuilder.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastTimestampToDecimal.java
==== HIVE-21493 ====
0	False	llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/ContainerRunnerImpl.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
2	False	llap-common/src/java/org/apache/hadoop/hive/llap/metrics/LlapDaemonExecutorInfo.java
3	False	common/src/java/org/apache/hadoop/hive/common/JvmPauseMonitor.java
4	False	llap-server/src/java/org/apache/hadoop/hive/llap/metrics/LlapDaemonCacheInfo.java
==== HIVE-21496 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFUtils.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPMod.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/plan/LimitDesc.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorAggregationBufferBatch.java
==== HIVE-21497 ====
0	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/utils/RetryUtilities.java
1	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/api/MetastoreException.java
2	False	common/src/java/org/apache/hive/common/util/RetryUtilities.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/RetryingHMSHandler.java
4	True	storage-api/src/java/org/apache/hive/common/util/Murmur3.java
==== HIVE-21498 ====
0	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/MetaStoreSchemaInfo.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFRank.java
2	False	contrib/src/java/org/apache/hadoop/hive/contrib/udf/example/UDFExampleStructPrint.java
3	False	metastore/scripts/upgrade/mysql/upgrade-1.1.0-to-1.2.0.mysql.sql
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecDriver.java
==== HIVE-21507 ====
0	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/ZooKeeperTokenStore.java
1	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java
2	False	service/src/java/org/apache/hive/service/cli/session/HiveSessionImplwithUGI.java
3	False	service/src/java/org/apache/hive/service/auth/HiveAuthFactory.java
4	False	accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableOutputFormat.java
==== HIVE-21508 ====
0	True	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/UnknownPartitionException.java
1	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/utils/StringUtils.java
2	False	llap-common/src/java/org/apache/hadoop/hive/llap/protocol/LlapTaskUmbilicalProtocol.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
4	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
==== HIVE-21509 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/processors/CommandProcessorFactory.java
1	True	llap-server/src/java/org/apache/hadoop/hive/llap/io/decode/ReadPipeline.java
